Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
BUENA PARK,0,416896.56885225256,700047.8358055621,891365.8052467578,1062841.1399147687,1212971.9035039279,1332544.8115832778,1398497.6473621149,1431037.3804179062
BURBANK,0,-274913.3537117648,-520916.2885588161,-746602.6036957465,-942383.0178016452,-1105970.4946841495,-1248493.8713062517,-1353945.1468350473,-1422393.0931589436
BURLINGAME,0,-1102634.323877436,-1908389.7990885894,-2697713.2598092286,-3424948.7085143127,-4244497.444613705,-5137987.181354969,-6051151.976423825,-6815693.773328329
BURNEY,0,-16262.001897344162,-65403.16314486897,-118482.78269593461,-161247.8612664509,-198642.6857792952,-227457.59709198136,-254157.91244374227,-279784.4356542706
BURNT RANCH,0,589.791908178624,-1406.8350484975963,-2741.220617053652,-3031.4906002676,-2615.701231719184,-1566.5302244679478,87.03032745111705,1692.2730605782417
BURSON,0,-359.4777469651017,-4414.04991322328,-7699.013852188509,-10241.372700945009,-12373.092644917837,-13668.210316127981,-14101.343182476645,-14497.059240909293
BUTTE CITY,0,-2032.8105142547647,-5261.226667969393,-8395.39664523297,-11261.451832877166,-13846.346712247898,-16136.013819973436,-18244.239133705138,-20420.26812352745
BUTTONWILLOW,0,-237515.71967378227,-709993.8093260592,-1200184.7409041561,-1697346.3961363467,-2207602.303371876,-2724917.207476014,-3248156.929538643,-3756216.6885364554
CALABASAS,0,-37973.09763268367,-71952.87298265839,-103126.36379572228,-130169.03108190841,-152764.96415342164,-172451.36535229377,-187017.08979761845,-196471.63616984378
CALEXICO,0,-10309.437406865836,-30882.638393679255,-49213.3310460792,-65047.54628968758,-80323.31081470031,-93882.66622345708,-106227.18285505818,-117612.68733547757
CALIENTE,0,-18665.82728978606,-55796.06400879141,-94318.2396881872,-133387.49691429862,-173486.4146389083,-214140.05939843415,-255259.1325423476,-295185.23799133406
CALIFORNIA CITY,0,-10819.888174125488,-32343.16384221788,-54673.31961793697,-77320.84406298585,-100565.0188311447,-124130.7562513581,-147966.34896913788,-171110.42537913914
CALIFORNIA HOT SPRINGS,0,-273742.7655785098,-636603.74761996,-1081154.574120107,-1564905.1000555172,-2000594.6675972533,-2396783.945684505,-2774973.214893935,-3147095.136702137
CALIMESA,0,-566.0017789708945,-1246.171107198039,-2056.817577702692,-2940.1130672941654,-3780.3438756469404,-4491.092015831731,-5099.176932321425,-5660.522919275478
CALISTOGA,0,-306141.2773843923,-719306.6264713798,-1135638.4417608385,-1518346.6350657078,-1865439.376404704,-2179947.4898465876,-2466974.087212456,-2735241.303707732
CALLAHAN,0,-1615.0613898733573,-5078.480438621635,-7482.281445324166,-8453.69229285197,-8296.876484875094,-6045.700924530443,-2526.8437891985377,419.7321744641522
CAMARILLO,0,-130816.18067343405,-266365.8600775292,-405471.8518593984,-534035.3166088575,-651505.2607703735,-736852.883416694,-798597.9194280867,-849213.6565539457
CAMBRIA,0,19529.91138463671,57766.76312599835,97427.39434965476,121597.63305969507,162576.57636527845,163487.74810793618,172589.63989895844,179152.57528936584
CAMINO,0,-523.5752378355683,-1488.2086411044438,-2466.1405740313567,-3197.15608823004,-3856.885655558566,-4252.565286731966,-4286.248938587654,-4073.8366327045587
CAMPBELL,0,397943.589980613,701713.4884940311,1037811.9290237157,1383123.4798884904,1731900.9018925074,2065961.906470289,2365326.663410087,2634475.9760078182
CANOGA PARK,0,-99062.45236638747,-201709.28163327463,-307049.19249935914,-404405.2964695003,-493360.94342746306,-557991.5301409503,-604748.690560793,-643078.0319318064
CANTUA CREEK,0,-92499.11773182277,-231942.64561948268,-374946.7026519554,-508393.96477636474,-639525.8094198791,-759549.7852747141,-880953.9519225492,-1009294.3906064125
CANYON,0,-4506.543631097913,-9036.541375836248,-13566.290327455776,-18056.51140048394,-22781.004271935366,-27433.16000174101,-31848.982006235696,-36221.436960234874
CANYON COUNTRY,0,-3975527.827281489,-7532982.024465843,-10796637.041801287,-13627823.36751097,-15993465.854752615,-18054499.91248911,-19579433.628396787,-20569261.342895288
CANYON DAM,0,2679.9020000268065,3055.3009813258686,2713.7910885742094,3160.619560477702,4388.098603192528,6302.529115701051,8355.891088372038,9808.676674430048
CAPISTRANO BEACH,0,71974.2420176455,120858.2799782051,153887.958897245,183491.9041112112,209410.90174303763,230054.30380813673,241440.5782237508,247058.3195385445
CAPITOLA,0,5879.000850195836,10692.250991600464,15876.197909153023,18741.839303006578,23504.472451612455,23437.588359473913,24484.33721301204,25849.0964027914
CARDIFF BY THE SEA,0,98165.93856469193,195785.27724198706,275743.7719212173,355478.1617130317,429737.6484353265,497099.35156628804,563286.5727441157,626458.256043334
CARLSBAD,0,-197643.5246008695,-394170.67251769686,-555146.3188059232,-715661.6113688378,-865158.4149287473,-1000766.8789640381,-1134010.1955609932,-1261181.4977345164
CARMEL,0,-25997.900412861316,-58245.936520334624,-89868.99951784333,-117467.934805625,-141253.17239834744,-162574.78531405565,-183297.74004217502,-201587.83623966662
CARMEL BY THE SEA,0,11132.107758739614,24940.35128760792,38480.85744502762,50297.77117854013,60482.14571494283,69611.5978592282,78484.64071967901,86315.94903436123
CARMEL VALLEY,0,-19339.536075521457,-43328.37844055226,-66852.21149295678,-87382.16432935823,-105075.5046629684,-120936.17041521212,-136351.44865058007,-149956.9496838481
CARMICHAEL,0,-43250.49370740866,-106070.92328242213,-174442.43760488252,-246874.66681134095,-321733.62648553867,-392713.56009338144,-454133.4389281031,-500420.4593070345
CARNELIAN BAY,0,-2229.908461724466,-4405.06510081864,-6781.293007474924,-9332.744015738484,-12262.174297285295,-15303.630768182913,-18102.817849511004,-20767.499343438605
CARPINTERIA,0,-30911.29356532474,-66939.69086938468,-104022.17214074533,-134166.17014104401,-178745.94355264178,-192823.70977668843,-212233.206101058,-229591.88489460113
CARSON,0,-21153.82872281951,-40083.105004565645,-57449.068000081315,-72513.90750352864,-85101.53902233962,-96068.34443042488,-104182.55772598722,-109449.46291242528
CARUTHERS,0,-107003.8778218574,-268312.3273214739,-433739.62488267233,-588110.5802981121,-739804.0082702107,-878647.8301733993,-1019088.0275915922,-1167552.0678277095
CASMALIA,0,-50211.90892721186,-108735.6143469883,-168971.18364294228,-217934.59688571683,-290348.1546441348,-313215.2772097898,-344742.85866380273,-372939.10654765996
CASPAR,0,-551.3391633819119,-1973.508449022891,-3642.5564313745563,-4922.553460513358,-5842.8247831035405,-6440.840952960076,-6989.5213917755755,-7879.121582620908
CASTAIC,0,-251039.97815153896,-475680.1425013875,-681767.9678891462,-860546.9843814526,-1009928.6173735237,-1140075.3470168023,-1236369.309468475,-1298873.2936292435
CASTELLA,0,-4416.135786779119,-17761.10132413844,-32175.77360569066,-43789.95181562071,-53945.300268430554,-61770.65233692205,-69021.82407805951,-75981.41743711231
CASTRO VALLEY,0,-1425783.3591860586,-2779027.179649149,-4103102.966722927,-5290069.953620028,-6441258.040139482,-7642217.544598759,-8850656.203962578,-9893509.89504157
CASTROVILLE,0,-2948.99821279943,-6606.9496896000055,-10193.995655362873,-13324.524702410068,-16022.505680677627,-18441.03063088309,-20791.641334719607,-22866.28734803872
CATHEDRAL CITY,0,-12679.893987016054,-27917.440601854003,-46078.01083973679,-65866.12461976073,-84689.4654906799,-100612.06084733084,-114234.73859725066,-126810.34479153564
CAYUCOS,0,5212.365293271512,15417.459010011808,26002.556355223714,32453.42738640521,43390.38064534712,43633.57018432142,46062.80030431456,47814.40380298681
CAZADERO,0,-32985.95845216191,-77503.76154441565,-122363.0597906913,-163600.98518865736,-201000.28922070342,-234888.68559350783,-265816.025552906,-294722.11573945556
CEDAR GLEN,0,-22109.079783998954,-53694.57777628006,-93559.03681865285,-136197.7748938407,-176915.59409312627,-212666.2063393515,-243681.25290920868,-273692.82251261605
CEDARPINES PARK,0,-18009.83879691112,-43739.073466762144,-76212.2681198341,-110945.35946083546,-144113.69176618327,-173235.7863228776,-198500.33519353863,-222947.46139500328
CEDARVILLE,0,500.08968231711333,141.61138894187025,-81.65221903033671,-63.79566017005709,-12.759208680225129,40.82979267109113,216.91086218292548,585.6662206990986
CERES,0,-129232.61144889495,-324547.18470147904,-533642.5182064608,-737848.0305606757,-924940.3671615998,-1109696.1647303957,-1295607.6163301622,-1488569.0987088284
CERRITOS,0,-9596.288975994801,-18183.4274590438,-26061.37912073126,-32895.44713304448,-38605.74194276333,-43580.7599982121,-47261.71968052094,-49651.01728362171
CHATSWORTH,0,-339169.1420923306,-642670.8676486947,-921107.2943767409,-1162648.4500462336,-1364471.6522344884,-1540307.405404252,-1670406.2028885293,-1754852.8080037811
CHESTER,0,-9538.580133003217,-10874.882272179699,-9659.451805481676,-11250.258783304353,-15619.523723757238,-22434.053639634923,-29743.213581083433,-34914.653229124706
CHICO,0,-216512.83405745332,-529399.3842433416,-819965.0047537982,-1081687.2655729165,-1284073.1559837232,-1385127.7189176977,-1437273.0288640931,-1498910.7175755731
CHILCOOT,0,-199.16137529297703,-1687.9435689141028,-3062.286997045856,-3976.2906722224943,-4592.5555996490875,-5033.300890742801,-5558.731422093275,-6051.804006653736
CHINO,0,-15729.539722088783,-38201.079270663904,-66562.69637413742,-96898.03657714574,-125866.76524981944,-151301.56837978307,-173367.240234943,-194718.98445139575
CHINO HILLS,0,-25901.158162227366,-62904.07774086646,-109605.93522963813,-159557.83647801587,-207259.39811627427,-249141.7962468497,-285476.39028067584,-320635.3902261779
CHOWCHILLA,0,-70022.92805493652,-242679.29379098784,-423139.85674079077,-599195.4806647695,-787606.2379100167,-974438.8492145569,-1159809.1415662973,-1353598.4617919114
CHULA VISTA,0,-406076.13812997006,-809866.927179602,-1140610.765312164,-1470413.5764547624,-1777575.5750865936,-2056203.0686012842,-2329971.4150532885,-2591264.6096043848
CITRUS HEIGHTS,0,37833.20127344935,92786.9214615653,152596.10344501934,215963.3660348592,281449.2705897733,343541.9468130206,397272.4324197101,437765.13523576385
CLAREMONT,0,-277328.11070584087,-525491.7885088595,-753160.4064886528,-950660.2813918111,-1115684.5921218637,-1259459.785796422,-1365837.2351217265,-1434886.3390007236
CLARKSBURG,0,-34140.57873041983,-75849.51252083716,-126891.65737615436,-171857.05477680202,-245579.72458717483,-280188.78180700727,-322634.5404588684,-357842.95501096925
CLAYTON,0,-333635.273431088,-669005.7175828198,-1004356.4937978692,-1336774.4387094842,-1686540.8190395471,-2030951.4996891678,-2357865.369183546,-2681568.257616621
CLEARLAKE,0,-17119.359910305764,-73194.9985008717,-132597.1094361524,-184672.0072129371,-234281.13705964288,-273204.39039257966,-302245.0337244806,-322305.0726329349
CLEARLAKE OAKS,0,-4344.0170022785005,-18573.241891749803,-33646.708278736536,-46861.40715559283,-59450.0234751384,-69327.09132601984,-76696.46997008068,-81786.99037001347
CLOVERDALE,0,-49511.52465068718,-116331.98665004232,-183664.76681355547,-245560.6775968929,-301695.81251751666,-352561.11365012306,-398981.89801220293,-442368.78881379263
CLOVIS,0,-56394.15521370352,-141408.42896133522,-228593.45558045292,-309951.4926418038,-389898.3700783348,-463073.1292996538,-537089.2310419192,-615334.1339375288
COACHELLA,0,-29416.078498548188,-64765.633162356855,-106896.30718412655,-152802.65580227325,-196470.8728819655,-233409.65578861276,-265012.85336848395,-294186.94846054737
COALINGA,0,-635998.8903549521,-1433579.3724514951,-2324994.610023744,-3262640.6688709157,-4168846.726021134,-4994921.796461254,-5703535.336701325,-6421814.510048041
